CandidateName,AppliedRole,InterviewStage,Interviewer,InterviewDate,CommunicationScore,TechnicalScore,FeedbackText,Recommended,PanelistFatigueFlag
Candidate 1,Software Engineer,Technical Interview,Panelist 3,2025-09-24,5.0,7.0,Needs improvement in time complexity.,Maybe,No
Candidate 1,Software Engineer,Managerial Interview,Panelist 15,2025-09-26,9.0,3.0,Struggled with edge cases in coding round.,No,No
Candidate 2,Software Engineer,Technical Interview,Panelist 18,2025-10-10,7.0,10.0,Needs improvement in time complexity.,Maybe,No
Candidate 2,Software Engineer,Managerial Interview,Panelist 10,2025-10-17,10.0,7.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 2,Software Engineer,Offer,HR Team,2025-10-26,,,Declined due to compensation mismatch.,N/A,No
Candidate 3,Software Engineer,Technical Interview,Panelist 25,2025-11-08,5.0,5.0,Struggled with edge cases in coding round.,No,No
Candidate 3,Software Engineer,Managerial Interview,Panelist 23,2025-11-13,4.0,4.0,Struggled with edge cases in coding round.,Yes,No
Candidate 3,Software Engineer,Offer,HR Team,2025-11-22,,,Declined due to cultural misfit.,N/A,No
Candidate 4,Software Engineer,Technical Interview,Panelist 22,2025-09-21,9.0,10.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 4,Software Engineer,Managerial Interview,Panelist 22,2025-09-22,9.0,7.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 4,Software Engineer,Offer,HR Team,2025-09-26,,,Declined due to offer declined - better opportunity.,N/A,No
Candidate 5,Software Engineer,Technical Interview,Panelist 1,2025-11-16,6.0,6.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 5,Software Engineer,Managerial Interview,Panelist 3,2025-11-17,6.0,7.0,Needs improvement in communication.,Maybe,No
Candidate 5,Software Engineer,Offer,HR Team,2025-11-22,,,Declined due to offer declined - better opportunity.,N/A,No
Candidate 7,Software Engineer,Technical Interview,Panelist 22,2025-09-18,6.0,4.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 7,Software Engineer,Managerial Interview,Panelist 7,2025-09-22,7.0,9.0,Struggled with edge cases in coding round.,No,No
Candidate 8,Software Engineer,Technical Interview,Panelist 5,2025-10-27,7.0,9.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 8,Software Engineer,Managerial Interview,Panelist 1,2025-11-01,10.0,7.0,Struggled with edge cases in coding round.,No,No
Candidate 9,Software Engineer,Technical Interview,Panelist 11,2025-11-09,10.0,10.0,Needs improvement in time complexity.,Yes,No
Candidate 10,Software Engineer,Technical Interview,Panelist 3,2025-10-11,5.0,9.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 10,Software Engineer,Managerial Interview,Panelist 13,2025-10-14,9.0,10.0,"Strong problem-solving, explained system design well.",Yes,No
Candidate 11,Software Engineer,Technical Interview,Panelist 17,2025-09-30,8.0,10.0,"Strong problem-solving, explained system design well.",Yes,No
Candidate 11,Software Engineer,Managerial Interview,Panelist 18,2025-10-06,10.0,10.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 12,Software Engineer,Technical Interview,Panelist 18,2025-09-16,9.0,7.0,Needs improvement in communication.,Maybe,No
Candidate 12,Software Engineer,Managerial Interview,Panelist 5,2025-09-21,9.0,10.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 12,Software Engineer,Offer,HR Team,2025-09-28,,,Declined due to offer declined - better opportunity.,N/A,No
Candidate 13,Software Engineer,Technical Interview,Panelist 24,2025-11-01,9.0,10.0,Struggled with edge cases in coding round.,Yes,No
Candidate 14,Software Engineer,Technical Interview,Panelist 9,2025-10-11,7.0,10.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 14,Software Engineer,Managerial Interview,Panelist 19,2025-10-13,10.0,8.0,Struggled with edge cases in coding round.,No,No
Candidate 15,Software Engineer,Technical Interview,Panelist 12,2025-11-14,9.0,4.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 15,Software Engineer,Managerial Interview,Panelist 17,2025-11-17,10.0,8.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 16,Software Engineer,Technical Interview,Panelist 15,2025-09-12,8.0,10.0,Needs improvement in time complexity.,Maybe,No
Candidate 16,Software Engineer,Managerial Interview,Panelist 20,2025-09-18,8.0,10.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 17,Software Engineer,Technical Interview,Panelist 25,2025-11-02,8.0,10.0,Excellent domain knowledge in ML pipelines.,No,No
Candidate 17,Software Engineer,Managerial Interview,Panelist 4,2025-11-09,7.0,6.0,Excellent domain knowledge in ML pipelines.,Maybe,No
Candidate 18,Software Engineer,Technical Interview,Panelist 25,2025-09-27,8.0,5.0,Struggled with edge cases in coding round.,Yes,No
Candidate 19,Software Engineer,Technical Interview,Panelist 14,2025-10-25,10.0,10.0,"Strong problem-solving, explained system design well.",Maybe,No
Candidate 20,Software Engineer,Technical Interview,Panelist 9,2025-11-02,9.0,10.0,Struggled with edge cases in coding round.,Maybe,No
Candidate 20,Software Engineer,Managerial Interview,Panelist 20,2025-11-04,5.0,9.0,"Strong problem-solving, explained API design well.",Yes,No
Candidate 22,Software Engineer,Technical Interview,Panelist 5,2025-09-10,4.0,5.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 22,Software Engineer,Managerial Interview,Panelist 23,2025-09-16,7.0,7.0,Excellent domain knowledge in ML pipelines.,Yes,No
Candidate 23,Software Engineer,Technical Interview,Panelist 3,2025-09-20,4.0,4.0,"Strong problem-solving, explained system design well.",No,No
Candidate 23,Software Engineer,Managerial Interview,Panelist 15,2025-09-27,6.0,5.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 24,Software Engineer,Technical Interview,Panelist 1,2025-10-13,3.0,5.0,"Great cultural fit, asked thoughtful questions.",No,No
Candidate 24,Software Engineer,Managerial Interview,Panelist 9,2025-10-19,3.0,4.0,Needs improvement in communication.,Maybe,No
Candidate 25,Software Engineer,Technical Interview,Panelist 18,2025-10-12,8.0,4.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 26,Software Engineer,Technical Interview,Panelist 10,2025-10-06,10.0,9.0,"Great cultural fit, asked thoughtful questions.",Yes,No
Candidate 26,Software Engineer,Managerial Interview,Panelist 9,2025-10-08,10.0,9.0,Needs improvement in time complexity.,Maybe,No
Candidate 27,Software Engineer,Technical Interview,Panelist 5,2025-09-18,10.0,8.0,"Strong problem-solving, explained DP well.",Maybe,No
Candidate 27,Software Engineer,Managerial Interview,Panelist 20,2025-09-25,3.0,7.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 27,Software Engineer,Offer,HR Team,2025-10-01,,,Declined due to offer declined - better opportunity.,N/A,No
Candidate 28,Software Engineer,Technical Interview,Panelist 20,2025-09-18,8.0,9.0,"Great cultural fit, asked thoughtful questions.",Maybe,No
Candidate 29,Software Engineer,Technical Interview,Panelist 24,2025-09-26,8.0,9.0,Struggled with edge cases in coding round.,Maybe,No
