CandidateName,AppliedRole,InterviewStage,Status,Feedback,Interviewer,RejectionReason,InterviewDate,ApplicationDate,DaysInPipeline,Source,SalaryExpectation,ResumeScore
Candidate 1,Software Engineer,Managerial Interview,Rejected,Struggled with edge cases in coding round.,Panelist 15,Poor skill match,2025-10-03,2025-09-18,15,LinkedIn,1304902,6
Candidate 2,Software Engineer,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 10,Compensation mismatch,2025-10-26,2025-10-04,22,Referral,2642654,8
Candidate 3,Software Engineer,Offer,Rejected,Struggled with edge cases in coding round.,Panelist 23,Cultural misfit,2025-11-22,2025-10-30,23,Other,1917807,5
Candidate 4,Software Engineer,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 22,Offer declined - better opportunity,2025-09-26,2025-09-18,8,Referral,2119897,10
Candidate 5,Software Engineer,Offer,Rejected,Needs improvement in communication.,Panelist 3,Offer declined - better opportunity,2025-11-22,2025-11-04,18,Other,1646319,8
Candidate 6,Software Engineer,Screening,Rejected,,,Poor skill match,2025-10-19,2025-10-18,1,Referral,2873494,6
Candidate 7,Software Engineer,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 7,Role withdrawn,2025-09-22,2025-09-08,14,Other,2165171,6
Candidate 8,Software Engineer,Managerial Interview,Rejected,Struggled with edge cases in coding round.,Panelist 1,Cultural misfit,2025-11-02,2025-10-22,11,LinkedIn,1454227,8
Candidate 9,Software Engineer,Online Assessment,Rejected,Needs improvement in time complexity.,Panelist 11,Insufficient experience,2025-11-09,2025-11-02,7,Referral,3108443,9
Candidate 10,Software Engineer,Offer,Accepted,"Strong problem-solving, explained system design well.",Panelist 13,,2025-10-18,2025-10-01,17,LinkedIn,1485048,7
Candidate 11,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 18,,2025-10-18,2025-09-21,27,Referral,1488531,10
Candidate 12,Software Engineer,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 5,Offer declined - better opportunity,2025-09-28,2025-09-06,22,Internal,2360480,10
Candidate 13,Software Engineer,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 24,Cultural misfit,2025-11-01,2025-10-23,9,Naukri,1881581,10
Candidate 14,Software Engineer,Managerial Interview,Rejected,Struggled with edge cases in coding round.,Panelist 19,No show/interview abandoned,2025-10-18,2025-09-30,18,Referral,2480063,8
Candidate 15,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 17,,2025-11-26,2025-11-06,20,Naukri,2268383,9
Candidate 16,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 20,,2025-09-26,2025-09-01,25,Internal,3498215,10
Candidate 17,Software Engineer,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 4,,2025-11-18,2025-10-20,29,Internal,2938291,10
Candidate 18,Software Engineer,Online Assessment,Rejected,Struggled with edge cases in coding round.,Panelist 25,Code test failed,2025-09-27,2025-09-21,6,Other,3070297,7
Candidate 19,Software Engineer,Online Assessment,Rejected,"Strong problem-solving, explained system design well.",Panelist 14,Code test failed,2025-10-25,2025-10-20,5,Referral,3465562,10
Candidate 20,Software Engineer,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 20,,2025-11-11,2025-10-24,18,Referral,2835722,10
Candidate 21,Software Engineer,Screening,Rejected,,,Code test failed,2025-10-25,2025-10-24,1,Referral,2615579,10
Candidate 22,Software Engineer,Offer,Accepted,Excellent domain knowledge in ML pipelines.,Panelist 23,,2025-09-21,2025-09-06,15,Naukri,1487806,5
Candidate 23,Software Engineer,Offer,Accepted,"Great cultural fit, asked thoughtful questions.",Panelist 15,,2025-10-06,2025-09-16,20,Naukri,1627405,6
Candidate 24,Software Engineer,Offer,Accepted,Needs improvement in communication.,Panelist 9,,2025-10-25,2025-10-06,19,Naukri,1563490,4
Candidate 25,Software Engineer,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 18,Poor skill match,2025-10-12,2025-10-02,10,LinkedIn,1590294,6
Candidate 26,Software Engineer,Offer,Accepted,Needs improvement in time complexity.,Panelist 9,,2025-10-19,2025-09-25,24,Other,1976574,9
Candidate 27,Software Engineer,Offer,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 20,Offer declined - better opportunity,2025-10-01,2025-09-15,16,Naukri,1415489,6
Candidate 28,Software Engineer,Online Assessment,Rejected,"Great cultural fit, asked thoughtful questions.",Panelist 20,Insufficient experience,2025-09-18,2025-09-11,7,Naukri,2310006,9
Candidate 29,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 17,,2025-10-07,2025-09-20,17,Referral,2029713,7
Candidate 30,Software Engineer,Technical Interview,Rejected,Struggled with edge cases in coding round.,Panelist 6,Code test failed,2025-09-20,2025-09-06,14,LinkedIn,2330411,6
Candidate 31,Software Engineer,Applied,Rejected,,,Cultural misfit,2025-11-05,2025-11-05,0,Referral,1686210,10
Candidate 32,Software Engineer,Offer,Accepted,Struggled with edge cases in coding round.,Panelist 8,,2025-10-16,2025-09-25,21,Internal,1427348,9
Candidate 33,Software Engineer,Offer,Rejected,Struggled with edge cases in coding round.,Panelist 1,Offer declined - better opportunity,2025-11-25,2025-11-01,24,Referral,3334363,9
Candidate 34,Software Engineer,Offer,Accepted,"Strong problem-solving, explained API design well.",Panelist 4,,2025-10-18,2025-09-30,18,Naukri,2806296,8
