CandidateName,AppliedRole,FunnelStage,StageOrder,Status,InterviewDate,Panelist,PanelistFatigueFlag,FeedbackText,RejectionReason,ResumeScore
Candidate 1,Software Engineer,Screening,1,Passed,2025-09-23,,No,,,6
Candidate 1,Software Engineer,Online Assessment,2,Passed,2025-09-24,,No,,,6
Candidate 1,Software Engineer,Technical Interview,3,Passed,2025-09-26,Panelist 3,No,Needs improvement in time complexity.,,6
Candidate 1,Software Engineer,Managerial Interview,4,Passed,2025-10-03,Panelist 15,No,Struggled with edge cases in coding round.,,6
Candidate 1,Software Engineer,Offer,5,Rejected,2025-10-03,,No,,Poor skill match,6
Candidate 2,Software Engineer,Screening,1,Passed,2025-10-09,,No,,,8
Candidate 2,Software Engineer,Online Assessment,2,Passed,2025-10-10,,No,,,8
Candidate 2,Software Engineer,Technical Interview,3,Passed,2025-10-17,Panelist 18,No,Needs improvement in time complexity.,,8
Candidate 2,Software Engineer,Managerial Interview,4,Passed,2025-10-20,Panelist 10,No,"Great cultural fit, asked thoughtful questions.",,8
Candidate 2,Software Engineer,Offer,5,Passed,2025-10-26,,No,,,8
Candidate 2,Software Engineer,Offer,6,Rejected,2025-10-26,HR Team,No,Declined due to compensation mismatch.,Compensation mismatch,8
Candidate 3,Software Engineer,Screening,1,Passed,2025-11-05,,No,,,5
Candidate 3,Software Engineer,Online Assessment,2,Passed,2025-11-08,,No,,,5
Candidate 3,Software Engineer,Technical Interview,3,Passed,2025-11-13,Panelist 25,No,Struggled with edge cases in coding round.,,5
Candidate 3,Software Engineer,Managerial Interview,4,Passed,2025-11-18,Panelist 23,No,Struggled with edge cases in coding round.,,5
Candidate 3,Software Engineer,Offer,5,Passed,2025-11-22,,No,,,5
Candidate 3,Software Engineer,Offer,6,Rejected,2025-11-22,HR Team,No,Declined due to cultural misfit.,Cultural misfit,5
Candidate 4,Software Engineer,Screening,1,Passed,2025-09-19,,No,,,10
Candidate 4,Software Engineer,Online Assessment,2,Passed,2025-09-21,,No,,,10
Candidate 4,Software Engineer,Technical Interview,3,Passed,2025-09-22,Panelist 22,No,Struggled with edge cases in coding round.,,10
Candidate 4,Software Engineer,Managerial Interview,4,Passed,2025-09-23,Panelist 22,No,"Great cultural fit, asked thoughtful questions.",,10
Candidate 4,Software Engineer,Offer,5,Passed,2025-09-26,,No,,,10
Candidate 4,Software Engineer,Offer,6,Rejected,2025-09-26,HR Team,No,Declined due to offer declined - better opportunity.,Offer declined - better opportunity,10
Candidate 5,Software Engineer,Screening,1,Passed,2025-11-11,,No,,,8
Candidate 5,Software Engineer,Online Assessment,2,Passed,2025-11-16,,No,,,8
Candidate 5,Software Engineer,Technical Interview,3,Passed,2025-11-17,Panelist 1,No,"Great cultural fit, asked thoughtful questions.",,8
Candidate 5,Software Engineer,Managerial Interview,4,Passed,2025-11-20,Panelist 3,No,Needs improvement in communication.,,8
Candidate 5,Software Engineer,Offer,5,Passed,2025-11-22,,No,,,8
Candidate 5,Software Engineer,Offer,6,Rejected,2025-11-22,HR Team,No,Declined due to offer declined - better opportunity.,Offer declined - better opportunity,8
Candidate 6,Software Engineer,Screening,1,Passed,2025-10-19,,No,,,6
Candidate 6,Software Engineer,Online Assessment,2,Rejected,2025-10-19,,No,,Poor skill match,6
Candidate 7,Software Engineer,Screening,1,Passed,2025-09-15,,No,,,6
Candidate 7,Software Engineer,Online Assessment,2,Passed,2025-09-18,,No,,,6
Candidate 7,Software Engineer,Technical Interview,3,Passed,2025-09-22,Panelist 22,No,Excellent domain knowledge in ML pipelines.,,6
Candidate 7,Software Engineer,Managerial Interview,4,Rejected,2025-09-22,Panelist 7,No,Struggled with edge cases in coding round.,Role withdrawn,6
Candidate 8,Software Engineer,Screening,1,Passed,2025-10-23,,No,,,8
Candidate 8,Software Engineer,Online Assessment,2,Passed,2025-10-27,,No,,,8
Candidate 8,Software Engineer,Technical Interview,3,Passed,2025-11-01,Panelist 5,No,Struggled with edge cases in coding round.,,8
Candidate 8,Software Engineer,Managerial Interview,4,Passed,2025-11-02,Panelist 1,No,Struggled with edge cases in coding round.,,8
Candidate 8,Software Engineer,Offer,5,Rejected,2025-11-02,,No,,Cultural misfit,8
Candidate 9,Software Engineer,Screening,1,Passed,2025-11-03,,No,,,9
Candidate 9,Software Engineer,Online Assessment,2,Passed,2025-11-09,,No,,,9
Candidate 9,Software Engineer,Technical Interview,3,Rejected,2025-11-09,Panelist 11,No,Needs improvement in time complexity.,Insufficient experience,9
Candidate 10,Software Engineer,Screening,1,Passed,2025-10-06,,No,,,7
Candidate 10,Software Engineer,Online Assessment,2,Passed,2025-10-11,,No,,,7
Candidate 10,Software Engineer,Technical Interview,3,Passed,2025-10-14,Panelist 3,No,"Great cultural fit, asked thoughtful questions.",,7
Candidate 10,Software Engineer,Managerial Interview,4,Passed,2025-10-15,Panelist 13,No,"Strong problem-solving, explained system design well.",,7
Candidate 10,Software Engineer,Offer,5,Passed,2025-10-18,,No,,,7
Candidate 10,Software Engineer,Offer,6,Accepted,2025-10-18,HR Team,No,Offer accepted.,,7
Candidate 11,Software Engineer,Screening,1,Passed,2025-09-24,,No,,,10
Candidate 11,Software Engineer,Online Assessment,2,Passed,2025-09-30,,No,,,10
Candidate 11,Software Engineer,Technical Interview,3,Passed,2025-10-06,Panelist 17,No,"Strong problem-solving, explained system design well.",,10
Candidate 11,Software Engineer,Managerial Interview,4,Passed,2025-10-11,Panelist 18,No,"Great cultural fit, asked thoughtful questions.",,10
Candidate 11,Software Engineer,Offer,5,Passed,2025-10-18,,No,,,10
Candidate 11,Software Engineer,Offer,6,Accepted,2025-10-18,HR Team,No,Offer accepted.,,10
Candidate 12,Software Engineer,Screening,1,Passed,2025-09-12,,No,,,10
Candidate 12,Software Engineer,Online Assessment,2,Passed,2025-09-16,,No,,,10
Candidate 12,Software Engineer,Technical Interview,3,Passed,2025-09-21,Panelist 18,No,Needs improvement in communication.,,10
Candidate 12,Software Engineer,Managerial Interview,4,Passed,2025-09-24,Panelist 5,No,"Great cultural fit, asked thoughtful questions.",,10
Candidate 12,Software Engineer,Offer,5,Passed,2025-09-28,,No,,,10
Candidate 12,Software Engineer,Offer,6,Rejected,2025-09-28,HR Team,No,Declined due to offer declined - better opportunity.,Offer declined - better opportunity,10
Candidate 13,Software Engineer,Screening,1,Passed,2025-10-26,,No,,,10
Candidate 13,Software Engineer,Online Assessment,2,Passed,2025-11-01,,No,,,10
Candidate 13,Software Engineer,Technical Interview,3,Rejected,2025-11-01,Panelist 24,No,Struggled with edge cases in coding round.,Cultural misfit,10
Candidate 14,Software Engineer,Screening,1,Passed,2025-10-04,,No,,,8
Candidate 14,Software Engineer,Online Assessment,2,Passed,2025-10-11,,No,,,8
Candidate 14,Software Engineer,Technical Interview,3,Passed,2025-10-13,Panelist 9,No,"Great cultural fit, asked thoughtful questions.",,8
Candidate 14,Software Engineer,Managerial Interview,4,Passed,2025-10-18,Panelist 19,No,Struggled with edge cases in coding round.,,8
Candidate 14,Software Engineer,Offer,5,Rejected,2025-10-18,,No,,No show/interview abandoned,8
Candidate 15,Software Engineer,Screening,1,Passed,2025-11-12,,No,,,9
Candidate 15,Software Engineer,Online Assessment,2,Passed,2025-11-14,,No,,,9
Candidate 15,Software Engineer,Technical Interview,3,Passed,2025-11-17,Panelist 12,No,"Great cultural fit, asked thoughtful questions.",,9
Candidate 15,Software Engineer,Managerial Interview,4,Passed,2025-11-21,Panelist 17,No,"Great cultural fit, asked thoughtful questions.",,9
Candidate 15,Software Engineer,Offer,5,Passed,2025-11-26,,No,,,9
Candidate 15,Software Engineer,Offer,6,Accepted,2025-11-26,HR Team,No,Offer accepted.,,9
Candidate 16,Software Engineer,Screening,1,Passed,2025-09-08,,No,,,10
Candidate 16,Software Engineer,Online Assessment,2,Passed,2025-09-12,,No,,,10
Candidate 16,Software Engineer,Technical Interview,3,Passed,2025-09-18,Panelist 15,No,Needs improvement in time complexity.,,10
Candidate 16,Software Engineer,Managerial Interview,4,Passed,2025-09-19,Panelist 20,No,"Great cultural fit, asked thoughtful questions.",,10
Candidate 16,Software Engineer,Offer,5,Passed,2025-09-26,,No,,,10
Candidate 16,Software Engineer,Offer,6,Accepted,2025-09-26,HR Team,No,Offer accepted.,,10
Candidate 17,Software Engineer,Screening,1,Passed,2025-10-26,,No,,,10
Candidate 17,Software Engineer,Online Assessment,2,Passed,2025-11-02,,No,,,10
Candidate 17,Software Engineer,Technical Interview,3,Passed,2025-11-09,Panelist 25,No,Excellent domain knowledge in ML pipelines.,,10
Candidate 17,Software Engineer,Managerial Interview,4,Passed,2025-11-13,Panelist 4,No,Excellent domain knowledge in ML pipelines.,,10
Candidate 17,Software Engineer,Offer,5,Passed,2025-11-18,,No,,,10
Candidate 17,Software Engineer,Offer,6,Accepted,2025-11-18,HR Team,No,Offer accepted.,,10
Candidate 18,Software Engineer,Screening,1,Passed,2025-09-24,,No,,,7
Candidate 18,Software Engineer,Online Assessment,2,Passed,2025-09-27,,No,,,7
Candidate 18,Software Engineer,Technical Interview,3,Rejected,2025-09-27,Panelist 25,No,Struggled with edge cases in coding round.,Code test failed,7
Candidate 19,Software Engineer,Screening,1,Passed,2025-10-21,,No,,,10
Candidate 19,Software Engineer,Online Assessment,2,Passed,2025-10-25,,No,,,10
Candidate 19,Software Engineer,Technical Interview,3,Rejected,2025-10-25,Panelist 14,No,"Strong problem-solving, explained system design well.",Code test failed,10
Candidate 20,Software Engineer,Screening,1,Passed,2025-10-31,,No,,,10
Candidate 20,Software Engineer,Online Assessment,2,Passed,2025-11-02,,No,,,10
Candidate 20,Software Engineer,Technical Interview,3,Passed,2025-11-04,Panelist 9,No,Struggled with edge cases in coding round.,,10
Candidate 20,Software Engineer,Managerial Interview,4,Passed,2025-11-08,Panelist 20,No,"Strong problem-solving, explained API design well.",,10
Candidate 20,Software Engineer,Offer,5,Passed,2025-11-11,,No,,,10
Candidate 20,Software Engineer,Offer,6,Accepted,2025-11-11,HR Team,No,Offer accepted.,,10
Candidate 21,Software Engineer,Screening,1,Passed,2025-10-25,,No,,,10
Candidate 21,Software Engineer,Online Assessment,2,Rejected,2025-10-25,,No,,Code test failed,10
Candidate 22,Software Engineer,Screening,1,Passed,2025-09-08,,No,,,5
Candidate 22,Software Engineer,Online Assessment,2,Passed,2025-09-10,,No,,,5
Candidate 22,Software Engineer,Technical Interview,3,Passed,2025-09-16,Panelist 5,No,"Great cultural fit, asked thoughtful questions.",,5
Candidate 22,Software Engineer,Managerial Interview,4,Passed,2025-09-20,Panelist 23,No,Excellent domain knowledge in ML pipelines.,,5
Candidate 22,Software Engineer,Offer,5,Passed,2025-09-21,,No,,,5
Candidate 22,Software Engineer,Offer,6,Accepted,2025-09-21,HR Team,No,Offer accepted.,,5
Candidate 23,Software Engineer,Screening,1,Passed,2025-09-17,,No,,,6
Candidate 23,Software Engineer,Online Assessment,2,Passed,2025-09-20,,No,,,6
Candidate 23,Software Engineer,Technical Interview,3,Passed,2025-09-27,Panelist 3,No,"Strong problem-solving, explained system design well.",,6
Candidate 23,Software Engineer,Managerial Interview,4,Passed,2025-10-01,Panelist 15,No,"Great cultural fit, asked thoughtful questions.",,6
Candidate 23,Software Engineer,Offer,5,Passed,2025-10-06,,No,,,6
Candidate 23,Software Engineer,Offer,6,Accepted,2025-10-06,HR Team,No,Offer accepted.,,6
Candidate 24,Software Engineer,Screening,1,Passed,2025-10-10,,No,,,4
Candidate 24,Software Engineer,Online Assessment,2,Passed,2025-10-13,,No,,,4
Candidate 24,Software Engineer,Technical Interview,3,Passed,2025-10-19,Panelist 1,No,"Great cultural fit, asked thoughtful questions.",,4
Candidate 24,Software Engineer,Managerial Interview,4,Passed,2025-10-21,Panelist 9,No,Needs improvement in communication.,,4
Candidate 24,Software Engineer,Offer,5,Passed,2025-10-25,,No,,,4
Candidate 24,Software Engineer,Offer,6,Accepted,2025-10-25,HR Team,No,Offer accepted.,,4
Candidate 25,Software Engineer,Screening,1,Passed,2025-10-06,,No,,,6
Candidate 25,Software Engineer,Online Assessment,2,Passed,2025-10-12,,No,,,6
Candidate 25,Software Engineer,Technical Interview,3,Rejected,2025-10-12,Panelist 18,No,"Great cultural fit, asked thoughtful questions.",Poor skill match,6
Candidate 26,Software Engineer,Screening,1,Passed,2025-10-01,,No,,,9
Candidate 26,Software Engineer,Online Assessment,2,Passed,2025-10-06,,No,,,9
Candidate 26,Software Engineer,Technical Interview,3,Passed,2025-10-08,Panelist 10,No,"Great cultural fit, asked thoughtful questions.",,9
Candidate 26,Software Engineer,Managerial Interview,4,Passed,2025-10-15,Panelist 9,No,Needs improvement in time complexity.,,9
Candidate 26,Software Engineer,Offer,5,Passed,2025-10-19,,No,,,9
Candidate 26,Software Engineer,Offer,6,Accepted,2025-10-19,HR Team,No,Offer accepted.,,9
Candidate 27,Software Engineer,Screening,1,Passed,2025-09-16,,No,,,6
Candidate 27,Software Engineer,Online Assessment,2,Passed,2025-09-18,,No,,,6
Candidate 27,Software Engineer,Technical Interview,3,Passed,2025-09-25,Panelist 5,No,"Strong problem-solving, explained DP well.",,6
Candidate 27,Software Engineer,Managerial Interview,4,Passed,2025-09-30,Panelist 20,No,"Great cultural fit, asked thoughtful questions.",,6
Candidate 27,Software Engineer,Offer,5,Passed,2025-10-01,,No,,,6
Candidate 27,Software Engineer,Offer,6,Rejected,2025-10-01,HR Team,No,Declined due to offer declined - better opportunity.,Offer declined - better opportunity,6
Candidate 28,Software Engineer,Screening,1,Passed,2025-09-12,,No,,,9
Candidate 28,Software Engineer,Online Assessment,2,Passed,2025-09-18,,No,,,9
Candidate 28,Software Engineer,Technical Interview,3,Rejected,2025-09-18,Panelist 20,No,"Great cultural fit, asked thoughtful questions.",Insufficient experience,9
Candidate 29,Software Engineer,Screening,1,Passed,2025-09-21,,No,,,7
Candidate 29,Software Engineer,Online Assessment,2,Passed,2025-09-26,,No,,,7
Candidate 29,Software Engineer,Technical Interview,3,Passed,2025-09-29,Panelist 24,No,Struggled with edge cases in coding round.,,7
Candidate 29,Software Engineer,Managerial Interview,4,Passed,2025-09-30,Panelist 17,No,Struggled with edge cases in coding round.,,7
Candidate 29,Software Engineer,Offer,5,Passed,2025-10-07,,No,,,7
Candidate 29,Software Engineer,Offer,6,Accepted,2025-10-07,HR Team,No,Offer accepted.,,7
